Day,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
8/12/17,56,9,2,4
8/13/17,67,10,2,4
8/14/17,74,12,3,4
8/15/17,74,10,2,4
8/16/17,67,10,2,4
8/17/17,61,10,2,4
8/18/17,63,9,2,4
8/19/17,56,8,2,3
8/20/17,51,7,2,4
8/21/17,53,10,2,4
8/22/17,60,9,2,8
8/23/17,56,9,3,11
8/24/17,51,8,4,9
8/25/17,53,8,3,6
8/26/17,47,7,2,5
8/27/17,44,7,5,5
8/28/17,48,9,5,6
8/29/17,55,10,4,6
8/30/17,58,13,4,6
8/31/17,61,11,6,6
9/1/17,66,13,10,7
9/2/17,61,12,6,6
9/3/17,56,10,5,5
9/4/17,67,14,5,5
9/5/17,69,11,4,5
9/6/17,59,10,4,5
9/7/17,55,9,3,4
9/8/17,59,8,4,5
9/9/17,48,7,3,4
9/10/17,48,8,3,4
9/11/17,54,8,3,4
9/12/17,52,8,3,5
9/13/17,72,9,3,4
9/14/17,88,10,4,4
9/15/17,100,10,4,4
9/16/17,65,7,2,3
9/17/17,52,6,2,3
9/18/17,62,9,3,4
9/19/17,57,9,2,4
9/20/17,49,7,2,4
9/21/17,52,7,3,3
9/22/17,48,6,2,4
9/23/17,39,5,2,3
9/24/17,37,6,1,3
9/25/17,43,6,2,3
9/26/17,42,6,2,4
9/27/17,46,6,2,5
9/28/17,43,6,2,4
9/29/17,42,6,2,4
9/30/17,39,5,2,3
10/1/17,7,1,0.1,1
10/2/17,8,1,0.1,1
10/3/17,8,1,0.1,1
10/4/17,8,1,0.1,1
10/5/17,8,1,0.1,1
10/6/17,7,1,0.1,1
10/7/17,7,1,0.1,1
10/8/17,8,1,0.1,1
10/9/17,9,1,0.1,1
10/10/17,9,1,0.1,1
10/11/17,9,1,0.1,1
10/12/17,15,2,1,1
10/13/17,18,2,1,1
10/14/17,12,2,1,1
10/15/17,11,2,1,1
10/16/17,12,2,1,2
10/17/17,11,2,1,2
10/18/17,12,2,0.1,1
10/19/17,11,1,0.1,1
10/20/17,12,1,0.1,1
10/21/17,14,1,0.1,1
10/22/17,12,1,0.1,1
10/23/17,14,2,0.1,1
10/24/17,15,2,0.1,1
10/25/17,13,1,0.1,1
10/26/17,13,1,0.1,1
10/27/17,11,1,0.1,1
10/28/17,10,1,0.1,1
10/29/17,10,1,0.1,1
10/30/17,12,1,0.1,1
10/31/17,15,1,1,1
11/1/17,18,2,1,1
11/2/17,23,2,1,1
11/3/17,21,2,1,1
11/4/17,17,2,0.1,1
11/5/17,17,2,1,1
11/6/17,17,2,1,1
11/7/17,16,2,1,1
11/8/17,18,2,1,1
11/9/17,17,2,1,1
11/10/17,20,2,1,1
11/11/17,19,2,1,1
11/12/17,24,2,1,1
11/13/17,22,2,1,1
11/14/17,17,2,1,1
11/15/17,17,2,1,1
11/16/17,18,2,1,2
11/17/17,20,2,1,1
11/18/17,15,1,1,1
11/19/17,14,2,1,1
11/20/17,19,2,1,1
11/21/17,20,2,1,1
11/22/17,17,2,1,1
11/23/17,16,3,1,1
11/24/17,15,3,1,1
11/25/17,16,3,1,1
11/26/17,24,3,1,2
11/27/17,32,4,2,2
11/28/17,36,4,2,2
11/29/17,61,5,3,3
11/30/17,50,4,2,2
12/1/17,37,3,2,2
12/2/17,30,3,2,2
12/3/17,30,3,2,2
12/4/17,33,3,2,2
12/5/17,35,4,2,2
12/6/17,48,5,2,2
12/7/17,94,6,3,3
12/8/17,84,5,5,3
12/9/17,57,5,7,3
12/10/17,53,4,4,2
12/11/17,63,5,7,3
12/12/17,59,7,22,6
12/13/17,53,8,13,11
12/14/17,46,6,9,16
12/15/17,42,5,6,13
12/16/17,42,4,5,9
12/17/17,47,5,5,7
12/18/17,47,5,5,8
12/19/17,51,7,6,8
12/20/17,68,5,6,7
12/21/17,53,5,5,14
12/22/17,100,6,7,14
12/23/17,62,4,4,8
12/24/17,47,3,3,6
12/25/17,40,3,2,6
12/26/17,40,3,3,6
12/27/17,37,3,3,9
12/28/17,38,3,3,10
12/29/17,33,3,2,19
12/30/17,33,3,3,24
12/31/17,28,3,2,13
