Date,Value
2015-09-30,457184.327803
2015-09-29,510276.701354
2015-09-28,409991.106868
2015-09-27,424738.98841
2015-09-26,477831.361961
2015-09-25,427688.564719
2015-09-24,442436.446261
2015-09-23,471932.209345
2015-09-22,389344.072709
2015-09-21,353949.157009
2015-09-20,389344.072709
2015-09-19,424738.98841
2015-09-18,399224.588766
2015-09-17,421875.629263
2015-09-16,461514.950133
2015-09-15,450189.429885
2015-09-14,396393.208704
2015-09-13,385067.688455
2015-09-12,489828.750755
2015-09-11,478503.230506
2015-09-10,399224.588766
2015-09-09,393561.828641
2015-09-08,385067.688455
2015-09-07,450189.429885
2015-09-06,427538.389387
2015-09-05,430369.76945
2015-09-04,407263.870142
2015-09-03,415355.20531
2015-09-02,409960.981865
2015-09-01,428840.763924
2015-08-31,388384.088082
2015-08-30,445023.434261
2015-08-29,401869.646696
2015-08-28,401869.646696
2015-08-27,418052.317033
2015-08-26,372201.417746
2015-08-25,423446.540479
2015-08-24,369504.306023
2015-08-23,412658.093588
2015-08-22,403437.399844
2015-08-21,406057.123219
2015-08-20,398197.953092
2015-08-19,379859.889463
2015-08-18,377240.166087
2015-08-17,385099.336214
2015-08-16,385099.336214
2015-08-15,351042.932331
2015-08-14,351042.932331
2015-08-13,390338.782966
2015-08-12,322225.9752
2015-08-11,442733.250478
2015-08-10,458451.590731
2015-08-09,353662.655707
2015-08-08,411296.56997
2015-08-07,369025.145411
2015-08-06,363827.608152
2015-08-05,327444.847336
2015-08-04,374222.68267
2015-08-03,382018.988559
2015-08-02,408006.674856
2015-08-01,426198.055263
2015-07-31,361228.839522
2015-07-30,356031.302263
2015-07-29,387216.525818
2015-07-28,369025.145411
2015-07-27,402809.137596
2015-07-26,358630.070892
2015-07-25,397611.600337
2015-07-24,426555.350029
2015-07-23,378313.971157
2015-07-22,373235.931275
2015-07-21,355462.791691
2015-07-20,365618.871453
2015-07-19,363079.851513
2015-07-18,406243.190504
2015-07-17,365618.871453
2015-07-16,345306.711928
2015-07-15,391009.07086
2015-07-14,352923.77175
2015-07-13,368157.891394
2015-07-12,350384.751809
2015-07-11,356089.184959
2015-07-10,383102.847267
2015-07-09,338898.672582
2015-07-08,378191.272302
2015-07-07,363456.547407
2015-07-06,417483.872021
2015-07-05,356089.184959
2015-07-04,380647.059784
2015-07-03,397837.572161
2015-07-02,343810.247547
2015-07-01,356089.184959
2015-06-30,351177.609994
2015-06-29,336442.8851
2015-06-28,363122.622864
2015-06-27,316188.406303
2015-06-26,365592.844788
2015-06-25,395235.507879
2015-06-24,373003.51056
2015-06-23,353241.735167
2015-06-22,365592.844788
2015-06-21,301367.074757
2015-06-20,331009.737848
2015-06-19,397705.729803
2015-06-18,380414.176333
2015-06-17,350771.513242
2015-06-16,303837.296682
2015-06-15,370533.288636
2015-06-14,358182.179015
