,date,btc_price,eth_price,ltc_price,name,total,price,open,high,low,vol,change
233,3/30/16,416.83,11.61,3.23,6926.0,3956453.0,,,,,,
234,3/31/16,415.26,11.92,3.23,6928.0,3963381.0,,,,,,
235,4/1/16,416.76,11.4,3.25,6930.0,3970311.0,,,,,,
236,4/2/16,418.42,11.63,3.25,6932.0,3977243.0,,,,,,
237,4/3/16,421.17,11.63,3.26,6934.0,3984177.0,,,,,,
238,4/4/16,421.3,11.62,3.26,6936.0,3991113.0,,,,,,
239,4/5/16,421.02,11.21,3.25,6937.0,3998050.0,,,,,,
240,4/6/16,424.28,10.45,3.26,6938.0,4004988.0,,,,,,
241,4/7/16,423.62,10.7,3.26,6939.0,4011927.0,,,,,,
242,4/8/16,422.91,10.08,3.24,6940.0,4018867.0,,,,,,
243,4/9/16,420.81,9.69,3.22,,,,,,,,
244,4/10/16,419.59,9.15,3.22,6942.0,4025809.0,,,,,,
245,4/11/16,421.87,8.94,3.23,6945.0,4032754.0,,,,,,
246,4/12/16,422.84,8.64,3.24,,,,,,,,
247,4/13/16,425.63,7.44,3.26,6949.0,4039703.0,,,,,,
248,4/14/16,423.94,8.08,3.25,6954.0,4046657.0,,,,,,
249,4/15/16,424.43,8.39,3.24,6955.0,4053612.0,,,,,,
250,4/16/16,429.57,8.24,3.28,,,,,,,,
251,4/17/16,430.64,8.62,3.28,,,,,,,,
252,4/18/16,427.61,9.33,3.26,6961.0,4060573.0,,,,,,
253,4/19/16,428.7,9.08,3.25,6967.0,4067540.0,,,,,,
254,4/20/16,435.32,8.69,3.29,6970.0,4074510.0,,,,,,
255,4/21/16,441.42,8.45,3.28,6972.0,4081482.0,,,,,,
256,4/22/16,449.69,8.15,3.35,6975.0,4088457.0,,,,,,
257,4/23/16,445.86,7.79,3.32,6978.0,4095435.0,,,,,,
258,4/24/16,450.56,8.29,3.35,6981.0,4102416.0,,,,,,
259,4/25/16,459.12,8.01,3.62,6984.0,4109400.0,,,,,,
260,4/26/16,461.65,7.53,3.8,6987.0,4116387.0,,,,,,
261,4/27/16,466.26,7.39,4.05,6990.0,4123377.0,,,,,,
262,4/28/16,445.04,7.74,3.88,6991.0,4130368.0,,,,,,
263,4/29/16,449.41,7.21,3.79,6992.0,4137360.0,,,,,,
264,4/30/16,455.18,7.45,3.81,6994.0,4144354.0,,,,,,
265,5/1/16,448.48,8.78,3.66,,,,,,,,
266,5/2/16,451.93,8.89,3.71,6999.0,4151353.0,,,,,,
267,5/3/16,444.73,10.17,3.68,7000.0,4158353.0,,,,,,
268,5/4/16,450.18,9.38,3.74,7006.0,4165359.0,,,,,,
269,5/5/16,446.71,9.4,3.74,7007.0,4172366.0,,,,,,
270,5/6/16,447.94,9.81,3.72,7008.0,4179374.0,,,,,,
271,5/7/16,459.64,9.32,3.82,7010.0,4186384.0,,,,,,
272,5/8/16,458.43,9.37,3.94,7014.0,4193398.0,,,,,,
273,5/9/16,458.21,9.49,3.94,7016.0,4200414.0,,,,,,
274,5/10/16,460.52,9.28,4.06,,,,,,,,
275,5/11/16,450.86,9.43,3.82,7019.0,4207433.0,,,,,,
276,5/12/16,452.45,10.0,3.88,7023.0,4214456.0,,,,,,
277,5/13/16,454.85,10.06,3.86,7029.0,4221485.0,,,,,,
278,5/14/16,455.82,10.51,3.93,7033.0,4228518.0,,,,,,
279,5/15/16,455.76,10.24,4.01,,,,,,,,
280,5/16/16,457.59,9.97,4.06,7037.0,4235555.0,,,,,,
281,5/17/16,454.01,11.19,4.0,7039.0,4242594.0,,,,,,
282,5/18/16,453.69,12.18,3.98,7045.0,4249639.0,,,,,,
283,5/19/16,454.52,13.54,4.0,7048.0,4256687.0,,,,,,
284,5/20/16,437.79,14.85,3.82,7053.0,4263740.0,,,,,,
285,5/21/16,442.97,13.69,3.88,7054.0,4270794.0,,,,,,
286,5/22/16,443.22,14.04,3.96,7055.0,4277849.0,,,,,,
287,5/23/16,439.35,14.28,3.92,7057.0,4284906.0,,,,,,
288,5/24/16,444.29,13.31,3.96,7066.0,4291972.0,,,,,,
289,5/25/16,446.06,12.79,3.95,7071.0,4299043.0,,,,,,
290,5/26/16,449.67,12.52,4.05,7072.0,4306115.0,,,,,,
291,5/27/16,453.52,12.39,4.09,7076.0,4313191.0,,,,,,
292,5/28/16,473.03,11.33,4.51,7079.0,4320270.0,,,,,,
