,Unnamed: 0,date,btc_price,eth_price,ltc_price,name,total,price,open,high,low,vol,change
315,315,2014-03-12,631.91,,16.1,,,,,,,,
316,316,2014-03-13,633.62,,17.16,,,,,,,,
317,317,2014-03-14,638.14,,17.0,,,,,,,,
318,318,2014-03-15,629.37,,16.6,,,,,,,,
319,319,2014-03-16,636.5,,16.89,,,,,,,,
320,320,2014-03-17,630.92,,17.35,,,,,,,,
321,321,2014-03-18,621.84,,17.29,,,,,,,,
322,322,2014-03-19,613.9,,19.45,,,,,,,,
323,323,2014-03-20,609.75,,17.17,,,,,,,,
324,324,2014-03-21,588.29,,16.4,,,,,,,,
325,325,2014-03-22,571.18,,15.64,,,,,,,,
326,326,2014-03-23,565.76,,15.71,,,,,,,,
327,327,2014-03-24,562.51,,15.3,,,,,,,,
328,328,2014-03-25,585.03,,16.23,,,,,,,,
329,329,2014-03-26,583.48,,16.29,,,,,,,,
330,330,2014-03-27,580.26,,16.28,,,,,,,,
331,331,2014-03-28,477.14,,12.66,,,,,,,,
332,332,2014-03-29,501.71,,13.91,,,,,,,,
333,333,2014-03-30,492.37,,13.45,,,,,,,,
334,334,2014-03-31,462.3,,13.15,,,,,,,,
335,335,2014-04-01,457.0,,12.77,,,,,,,,
336,336,2014-04-02,479.14,,13.09,,,,,,,,
337,337,2014-04-03,436.44,,11.26,,,,,,,,
338,338,2014-04-04,445.66,,11.07,,,,,,,,
339,339,2014-04-05,446.68,,11.0,,,,,,,,
340,340,2014-04-06,463.4,,11.18,,,,,,,,
341,341,2014-04-07,461.47,,11.66,,,,,,,,
342,342,2014-04-08,447.61,,11.21,,,,,,,,
343,343,2014-04-09,453.18,,11.38,,,,,,,,
344,344,2014-04-10,442.26,,11.19,,,,,,,,
345,345,2014-04-11,363.71,,8.42,,,,,,,,
346,346,2014-04-12,420.89,,10.9,,,,,,,,
347,347,2014-04-13,421.46,,10.66,,,,,,,,
348,348,2014-04-14,414.83,,10.39,,,,,,,,
349,349,2014-04-15,458.37,,11.46,,,,,,,,
350,350,2014-04-16,522.18,,13.3,,,,,,,,
351,351,2014-04-17,529.07,,13.42,,,,,,,,
352,352,2014-04-18,495.8,,12.46,,,,,,,,
353,353,2014-04-19,479.58,,12.05,,,,,,,,
354,354,2014-04-20,501.75,,12.86,,,,,,,,
355,355,2014-04-21,497.74,,12.56,,,,,,,,
356,356,2014-04-22,495.45,,12.5,,,,,,,,
357,357,2014-04-23,488.36,,12.04,,,,,,,,
358,358,2014-04-24,490.82,,12.14,,,,,,,,
359,359,2014-04-25,500.09,,12.54,,,,,,,,
360,360,2014-04-26,461.7,,10.81,,,,,,,,
361,361,2014-04-27,457.24,,10.56,,,,,,,,
362,362,2014-04-28,430.72,,9.79,,,,,,,,
363,363,2014-04-29,439.98,,10.12,,,,,,,,
364,364,2014-04-30,446.89,,10.4,,,,,,,,
365,365,2014-05-01,447.63,,10.93,,,,,,,,
366,366,2014-05-02,457.36,,11.13,,,,,,,,
367,367,2014-05-03,449.4,,10.52,,,,,,,,
368,368,2014-05-04,438.52,,10.3,,,,,,,,
369,369,2014-05-05,434.78,,10.31,,,,,,,,
370,370,2014-05-06,433.36,,10.21,,,,,,,,
371,371,2014-05-07,429.34,,10.34,,,,,,,,
372,372,2014-05-08,438.68,,10.51,,,,,,,,
373,373,2014-05-09,440.18,,10.42,,,,,,,,
374,374,2014-05-10,450.46,,10.76,,,,,,,,
375,375,2014-05-11,453.92,,10.72,,,,,,,,
376,376,2014-05-12,438.3,,10.34,,,,,,,,
377,377,2014-05-13,441.53,,10.42,,,,,,,,
378,378,2014-05-14,440.59,,10.41,,,,,,,,
379,379,2014-05-15,444.14,,10.43,,,,,,,,
380,380,2014-05-16,447.39,,10.48,,,,,,,,
381,381,2014-05-17,448.12,,10.44,,,,,,,,
382,382,2014-05-18,448.7,,10.35,,,,,,,,
383,383,2014-05-19,446.08,,10.34,,,,,,,,
384,384,2014-05-20,446.31,,10.3,,,,,,,,
385,385,2014-05-21,485.8,,10.6,,,,,,,,
386,386,2014-05-22,492.05,,10.58,,,,,,,,
387,387,2014-05-23,525.72,,10.65,,,,,,,,
388,388,2014-05-24,521.05,,11.21,,,,,,,,
389,389,2014-05-25,525.23,,11.12,,,,,,,,
390,390,2014-05-26,571.39,,11.58,,,,,,,,
391,391,2014-05-27,582.59,,11.55,,,,,,,,
392,392,2014-05-28,571.91,,11.16,,,,,,,,
393,393,2014-05-29,576.33,,11.01,,,,,,,,
394,394,2014-05-30,568.18,,10.78,,,,,,,,
395,395,2014-05-31,615.69,,11.26,,,,,,,,
396,396,2014-06-01,623.69,,10.93,,,,,,,,
397,397,2014-06-02,629.64,,11.15,,,,,,,,
398,398,2014-06-03,660.55,,11.36,,,,,,,,
399,399,2014-06-04,666.77,,11.47,,,,,,,,
400,400,2014-06-05,641.07,,11.04,,,,,,,,
401,401,2014-06-06,659.28,,11.3,,,,,,,,
402,402,2014-06-07,653.52,,11.2,,,,,,,,
403,403,2014-06-08,654.99,,11.11,,,,,,,,
404,404,2014-06-09,655.64,,11.27,,,,,,,,
405,405,2014-06-10,650.04,,11.21,,,,,,,,
406,406,2014-06-11,653.19,,11.1,,,,,,,,
407,407,2014-06-12,633.43,,10.93,,,,,,,,
408,408,2014-06-13,585.7,,10.16,,,,,,,,
409,409,2014-06-14,600.75,,10.26,,,,,,,,
410,410,2014-06-15,575.93,,9.87,,,,,,,,
411,411,2014-06-16,592.65,,9.96,,,,,,,,
412,412,2014-06-17,591.59,,9.68,,,,,,,,
413,413,2014-06-18,609.77,,9.67,,,,,,,,
414,414,2014-06-19,608.07,,9.68,,,,,,,,
415,415,2014-06-20,597.4,,10.0,,,,,,,,
416,416,2014-06-21,593.68,,9.84,,,,,,,,
417,417,2014-06-22,595.9,,9.85,,,,,,,,
418,418,2014-06-23,602.16,,9.77,,,,,,,,
419,419,2014-06-24,593.97,,9.73,,,,,,,,
420,420,2014-06-25,581.81,,9.61,,,,,,,,
421,421,2014-06-26,566.14,,9.2,,,,,,,,
422,422,2014-06-27,581.3,,9.09,,,,,,,,
423,423,2014-06-28,599.08,,9.27,,,,,,,,
424,424,2014-06-29,596.33,,9.2,,,,,,,,
425,425,2014-06-30,602.62,,8.97,,,,,,,,
426,426,2014-07-01,641.39,,8.96,,,,,,,,
427,427,2014-07-02,641.04,,7.98,,,,,,,,
428,428,2014-07-03,650.77,,8.07,,,,,,,,
429,429,2014-07-04,644.65,,8.03,,,,,,,,
430,430,2014-07-05,629.95,,7.32,,,,,,,,
431,431,2014-07-06,631.77,,7.3,,,,,,,,
432,432,2014-07-07,635.46,,7.1,,,,,,,,
433,433,2014-07-08,622.57,,7.58,,,,,,,,
434,434,2014-07-09,625.22,,7.77,,,,,,,,
435,435,2014-07-10,624.83,,7.78,,,,,,,,
436,436,2014-07-11,616.66,,7.8,,,,,,,,
437,437,2014-07-12,631.88,,7.86,,,,,,,,
438,438,2014-07-13,634.22,,8.61,,,,,,,,
439,439,2014-07-14,626.56,,8.9,,,,,,,,
440,440,2014-07-15,620.0,,8.62,,,,,,,,
441,441,2014-07-16,622.01,,8.56,,,,,,,,
442,442,2014-07-17,616.54,,8.33,,,,,,,,
443,443,2014-07-18,622.37,,8.66,,,,,,,,
444,444,2014-07-19,629.17,,8.72,,,,,,,,
445,445,2014-07-20,628.56,,8.61,,,,,,,,
446,446,2014-07-21,623.95,,8.46,,,,,,,,
447,447,2014-07-22,622.27,,8.59,,,,,,,,
448,448,2014-07-23,621.12,,8.57,,,,,,,,
449,449,2014-07-24,619.5,,8.47,,,,,,,,
450,450,2014-07-25,601.51,,7.78,,,,,,,,
451,451,2014-07-26,601.54,,7.58,,,,,,,,
452,452,2014-07-27,595.67,,7.61,,,,,,,,
453,453,2014-07-28,594.14,,7.76,,,,,,,,
454,454,2014-07-29,585.55,,7.59,,,,,,,,
455,455,2014-07-30,584.74,,7.65,,,,,,,,
456,456,2014-07-31,567.37,,7.28,,,,,,,,
457,457,2014-08-01,586.2,,7.54,,,,,,,,
458,458,2014-08-02,594.9,,7.71,,,,,,,,
459,459,2014-08-03,588.89,,7.63,,,,,,,,
460,460,2014-08-04,586.23,,7.54,,,,,,,,
461,461,2014-08-05,589.01,,7.41,,,,,,,,
462,462,2014-08-06,585.95,,7.26,,,,,,,,
463,463,2014-08-07,584.65,,7.19,,,,,,,,
464,464,2014-08-08,588.88,,7.18,,,,,,,,
465,465,2014-08-09,592.47,,7.06,,,,,,,,
466,466,2014-08-10,589.17,,6.95,,,,,,,,
467,467,2014-08-11,591.28,,6.96,,,,,,,,
468,468,2014-08-12,576.51,,6.06,,,,,,,,
469,469,2014-08-13,570.38,,5.65,,,,,,,,
470,470,2014-08-14,546.18,,5.04,,,,,,,,
471,471,2014-08-15,511.14,,5.06,,,,,,,,
472,472,2014-08-16,497.83,,5.05,,,,,,,,
473,473,2014-08-17,519.14,,4.97,,,,,,,,
474,474,2014-08-18,491.51,,4.35,,,,,,,,
475,475,2014-08-19,461.48,,3.71,,,,,,,,
476,476,2014-08-20,485.07,,4.72,,,,,,,,
477,477,2014-08-21,510.45,,5.46,,,,,,,,
478,478,2014-08-22,517.58,,5.8,,,,,,,,
479,479,2014-08-23,513.39,,5.24,,,,,,,,
480,480,2014-08-24,498.29,,4.89,,,,,,,,
481,481,2014-08-25,508.22,,5.4,,,,,,,,
482,482,2014-08-26,502.54,,5.2,,,,,,,,
483,483,2014-08-27,512.19,,5.55,,,,,,,,
484,484,2014-08-28,510.88,,5.39,,,,,,,,
485,485,2014-08-29,508.43,,5.29,,,,,,,,
486,486,2014-08-30,508.59,,5.36,,,,,,,,
487,487,2014-08-31,502.9,,5.21,,,,,,,,
488,488,2014-09-01,477.79,,4.86,,,,,,,,
489,489,2014-09-02,474.48,,4.71,,,,,,,,
490,490,2014-09-03,476.87,,4.82,,,,,,,,
491,491,2014-09-04,477.68,,4.87,,,,,,,,
492,492,2014-09-05,489.67,,5.17,,,,,,,,
493,493,2014-09-06,483.34,,4.97,,,,,,,,
