,date,price(USD),eth_price_USD
759,2017-09-07,4589.14,333.52
760,2017-09-08,4605.16,329.64
761,2017-09-09,4229.81,296.17
762,2017-09-10,4229.34,294.06
763,2017-09-11,4122.47,289.75
764,2017-09-12,4168.88,294.63
765,2017-09-13,4131.98,291.12
766,2017-09-14,3875.37,276.59
767,2017-09-15,3166.3,215.22
768,2017-09-16,3637.75,250.87
769,2017-09-17,3606.28,245.85
770,2017-09-18,3591.09,252.23
771,2017-09-19,4073.79,293.66
772,2017-09-20,3916.36,282.01
773,2017-09-21,3901.47,283.26
774,2017-09-22,3628.02,258.11
775,2017-09-23,3629.92,264.6
776,2017-09-24,3796.15,286.21
777,2017-09-25,3681.58,282.22
778,2017-09-26,3928.41,292.35
779,2017-09-27,3892.94,287.02
780,2017-09-28,4197.13,306.47
781,2017-09-29,4171.62,299.12
782,2017-09-30,4166.11,291.48
783,2017-10-01,4341.05,301.55
784,2017-10-02,4395.81,302.48
785,2017-10-03,4408.46,297.48
786,2017-10-04,4319.37,292.75
787,2017-10-05,4229.88,292.77
788,2017-10-06,4324.46,295.15
