Day,cyber attack
7/8/16,33
7/9/16,21
7/10/16,24
7/11/16,28
7/12/16,42
7/13/16,28
7/14/16,27
7/15/16,48
7/16/16,12
7/17/16,21
7/18/16,46
7/19/16,36
7/20/16,35
7/21/16,29
7/22/16,47
7/23/16,29
7/24/16,25
7/25/16,52
7/26/16,35
7/27/16,78
7/28/16,75
7/29/16,33
7/30/16,37
7/31/16,20
8/1/16,42
8/2/16,46
8/3/16,50
8/4/16,57
8/5/16,38
8/6/16,17
8/7/16,59
8/8/16,54
8/9/16,47
8/10/16,80
8/11/16,33
8/12/16,27
8/13/16,13
8/14/16,9
8/15/16,31
8/16/16,34
8/17/16,41
8/18/16,27
8/19/16,27
8/20/16,47
8/21/16,30
8/22/16,33
8/23/16,48
8/24/16,100
8/25/16,64
8/26/16,26
8/27/16,29
8/28/16,44
8/29/16,45
8/30/16,52
8/31/16,45
9/1/16,49
9/2/16,29
9/3/16,8
9/4/16,36
9/5/16,24
9/6/16,52
9/7/16,49
9/8/16,45
9/9/16,36
9/10/16,33
9/11/16,24
9/12/16,28
9/13/16,55
9/14/16,38
9/15/16,42
9/16/16,28
9/17/16,28
9/18/16,27
9/19/16,40
9/20/16,27
9/21/16,34
9/22/16,45
9/23/16,67
9/24/16,35
9/25/16,43
9/26/16,68
9/27/16,84
9/28/16,64
9/29/16,30
9/30/16,31
10/1/16,1
10/2/16,1
10/3/16,2
10/4/16,1
10/5/16,1
10/6/16,1
10/7/16,1
10/8/16,1
10/9/16,1
10/10/16,1
10/11/16,2
10/12/16,2
10/13/16,1
10/14/16,1
10/15/16,6
10/16/16,4
10/17/16,3
10/18/16,2
10/19/16,2
10/20/16,4
10/21/16,100
10/22/16,53
10/23/16,13
10/24/16,11
10/25/16,6
10/26/16,4
10/27/16,3
10/28/16,2
10/29/16,1
10/30/16,2
10/31/16,2
11/1/16,4
11/2/16,2
11/3/16,3
11/4/16,4
11/5/16,2
11/6/16,3
11/7/16,4
11/8/16,4
11/9/16,2
11/10/16,3
11/11/16,2
11/12/16,1
11/13/16,1
11/14/16,2
11/15/16,2
11/16/16,1
11/17/16,2
11/18/16,2
11/19/16,1
11/20/16,1
11/21/16,1
11/22/16,1
11/23/16,2
11/24/16,1
11/25/16,1
11/26/16,1
11/27/16,2
11/28/16,4
11/29/16,3
11/30/16,2
12/1/16,2
12/2/16,3
12/3/16,1
12/4/16,1
12/5/16,2
12/6/16,2
12/7/16,1
12/8/16,2
12/9/16,1
12/10/16,1
12/11/16,2
12/12/16,2
12/13/16,2
12/14/16,2
12/15/16,2
12/16/16,3
12/17/16,2
12/18/16,1
12/19/16,2
12/20/16,2
12/21/16,2
12/22/16,1
12/23/16,1
12/24/16,0.1
12/25/16,1
12/26/16,1
12/27/16,1
12/28/16,1
12/29/16,1
12/30/16,2
12/31/16,2
1/1/17,32
1/2/17,60
1/3/17,48
1/4/17,38
1/5/17,91
1/6/17,43
1/7/17,81
1/8/17,64
1/9/17,58
1/10/17,52
1/11/17,82
1/12/17,56
1/13/17,47
1/14/17,28
1/15/17,38
1/16/17,37
1/17/17,54
1/18/17,66
1/19/17,48
1/20/17,41
1/21/17,55
1/22/17,47
1/23/17,81
1/24/17,100
1/25/17,54
1/26/17,67
1/27/17,50
1/28/17,64
1/29/17,62
1/30/17,63
1/31/17,77
2/1/17,49
2/2/17,49
2/3/17,47
2/4/17,34
2/5/17,17
2/6/17,36
2/7/17,53
2/8/17,60
2/9/17,55
2/10/17,59
2/11/17,38
2/12/17,24
2/13/17,44
2/14/17,57
2/15/17,48
2/16/17,63
2/17/17,27
2/18/17,38
2/19/17,20
2/20/17,48
2/21/17,53
2/22/17,50
2/23/17,60
2/24/17,38
2/25/17,45
2/26/17,37
2/27/17,43
2/28/17,97
3/1/17,74
3/2/17,49
3/3/17,40
3/4/17,27
3/5/17,53
3/6/17,66
3/7/17,76
3/8/17,56
3/9/17,47
3/10/17,40
3/11/17,38
3/12/17,42
3/13/17,44
3/14/17,64
3/15/17,77
3/16/17,48
3/17/17,34
3/18/17,17
3/19/17,23
3/20/17,51
3/21/17,65
3/22/17,62
3/23/17,66
3/24/17,37
3/25/17,17
3/26/17,17
3/27/17,44
3/28/17,51
3/29/17,57
3/30/17,54
3/31/17,43
4/1/17,1
4/2/17,0.1
4/3/17,1
4/4/17,1
4/5/17,0.1
4/6/17,1
4/7/17,1
4/8/17,0.1
