,date,btc_yearly,btc_per
690,5/16/17,,49
691,5/17/17,,39
692,5/18/17,,36
693,5/19/17,,41
694,5/20/17,,40
695,5/22/17,,65
696,5/23/17,,71
697,5/24/17,,76
698,5/25/17,,100
699,5/26/17,,80
700,5/27/17,,67
701,5/29/17,,50
702,5/30/17,,49
703,5/31/17,,48
704,6/1/17,,47
705,6/2/17,,42
706,6/3/17,,38
707,6/5/17,,42
708,6/6/17,,59
709,6/7/17,,52
710,6/8/17,,45
711,6/9/17,,44
712,6/10/17,,42
713,6/12/17,,57
714,6/13/17,,50
715,6/14/17,,49
716,6/15/17,,58
717,6/16/17,,50
718,6/17/17,,41
719,6/19/17,,39
720,6/20/17,,42
721,6/21/17,,43
722,6/22/17,,44
723,6/23/17,,39
724,6/24/17,,39
725,6/26/17,,45
726,6/27/17,,51
727,6/28/17,,49
728,6/29/17,,41
729,6/30/17,,35
730,7/1/17,,28
731,7/3/17,,30
732,7/4/17,,29
733,7/5/17,,30
734,7/6/17,,30
735,7/7/17,,31
736,7/8/17,,28
737,7/10/17,,33
738,7/11/17,,36
739,7/12/17,,35
740,7/13/17,,33
741,7/14/17,,31
742,7/15/17,,38
743,7/17/17,,40
744,7/18/17,,37
745,7/19/17,,37
746,7/20/17,,41
747,7/21/17,,40
748,7/22/17,,35
749,7/24/17,,36
750,7/25/17,,36
751,7/26/17,,37
752,7/27/17,,34
753,7/28/17,,38
754,7/29/17,,31
755,7/31/17,,40
756,8/1/17,,70
757,8/2/17,,64
758,8/3/17,,43
759,8/4/17,,40
760,8/5/17,,50
761,8/7/17,,47
762,8/8/17,,51
763,8/9/17,,45
764,8/10/17,,43
765,8/11/17,,47
766,8/12/17,,56
767,8/14/17,,74
768,8/15/17,,74
769,8/16/17,,67
770,8/17/17,,61
771,8/18/17,,63
772,8/19/17,,56
773,8/21/17,,53
774,8/22/17,,60
775,8/23/17,,56
776,8/24/17,,51
777,8/25/17,,53
778,8/26/17,,47
779,8/28/17,,48
780,8/29/17,,55
781,8/30/17,,58
782,8/31/17,,61
783,9/1/17,,66
784,9/2/17,,61
785,9/4/17,,67
786,9/5/17,,69
787,9/6/17,,59
788,9/7/17,,55
789,9/8/17,,59
790,9/9/17,,48
791,9/11/17,,54
792,9/12/17,,52
793,9/13/17,,72
794,9/14/17,,88
795,9/15/17,,100
796,9/16/17,,65
797,9/18/17,,62
798,9/19/17,,57
799,9/20/17,,49
800,9/21/17,,52
801,9/22/17,,48
802,9/23/17,,39
803,9/25/17,,43
804,9/26/17,,42
805,9/27/17,,46
806,9/28/17,,43
807,9/29/17,,42
808,9/30/17,,39
809,10/2/17,,8
810,10/3/17,,8
811,10/4/17,,8
812,10/5/17,,8
813,10/6/17,,7
814,10/7/17,,7
815,10/9/17,,9
816,10/10/17,,9
817,10/11/17,,9
818,10/12/17,,15
819,10/13/17,,18
820,10/14/17,,12
821,10/16/17,,12
822,10/17/17,,11
823,10/18/17,,12
824,10/19/17,,11
825,10/20/17,,12
826,10/21/17,,14
827,10/23/17,,14
828,10/24/17,,15
829,10/25/17,,13
830,10/26/17,,13
831,10/27/17,,11
832,10/28/17,,10
833,10/30/17,,12
834,10/31/17,,15
835,11/1/17,,18
836,11/2/17,,23
837,11/3/17,,21
838,11/4/17,,17
839,11/6/17,,17
840,11/7/17,,16
841,11/8/17,,18
842,11/9/17,,17
843,11/10/17,,20
844,11/11/17,,19
845,11/13/17,,22
846,11/14/17,,17
847,11/15/17,,17
848,11/16/17,,18
849,11/17/17,,20
850,11/18/17,,15
851,11/20/17,,19
852,11/21/17,,20
853,11/22/17,,17
854,11/23/17,,16
855,11/24/17,,15
856,11/25/17,,16
857,11/27/17,,32
858,11/28/17,,36
859,11/29/17,,61
860,11/30/17,,50
861,12/1/17,,37
862,12/2/17,,30
863,12/4/17,,33
864,12/5/17,,35
865,12/6/17,,48
866,12/7/17,,94
867,12/8/17,,84
868,12/9/17,,57
869,12/11/17,,63
870,12/12/17,,59
871,12/13/17,,53
872,12/14/17,,46
873,12/15/17,,42
874,12/16/17,,42
875,12/18/17,,47
876,12/19/17,,51
877,12/20/17,,68
878,12/21/17,,53
879,12/22/17,,100
880,12/23/17,,62
881,12/25/17,,40
882,12/26/17,,40
883,12/27/17,,37
884,12/28/17,,38
885,12/29/17,,33
886,12/30/17,,33
887,1/1/18,,46
888,1/2/18,,54
889,1/3/18,,54
890,1/4/18,,52
891,1/5/18,,52
892,1/6/18,,46
893,1/8/18,,51
894,1/9/18,,48
895,1/10/18,,50
896,1/11/18,,56
897,1/12/18,,46
898,1/13/18,,41
899,1/15/18,,38
900,1/16/18,,75
901,1/17/18,,100
902,1/18/18,,69
903,1/19/18,,51
904,1/20/18,,42
905,1/22/18,,46
906,1/23/18,,44
907,1/24/18,,41
908,1/25/18,,38
909,1/26/18,,39
910,1/27/18,,32
911,1/29/18,,32
912,1/30/18,,36
913,1/31/18,,38
914,2/1/18,,49
915,2/2/18,,64
916,2/3/18,,43
917,2/5/18,,64
918,2/6/18,,81
919,2/7/18,,51
920,2/8/18,,43
921,2/9/18,,38
922,2/10/18,,30
