count,date,btc_index,eth_per,ltc_per,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,count_vendors,sum,txVolume(USD)_e_e,txCount_e_e,marketcap(USD)_e_e,price(USD)_e_e,exchangeVolume(USD)_e_e,generatedCoins_e_e,fees_e_e,activeAddresses_e_e,txVolume(USD)_l,txCount_l,marketcap(USD)_l,price(USD)_l,exchangeVolume(USD)_l,generatedCoins_l,fees_l,activeAddresses_l,Price_futures,VIX Close,cyber_attack_index,hashrate,diff,dum_future,btc_per,cyber_attack
24,1/4/18,52,10,5,22292265232,424840,2.56E+11,15270.7,21783200000,2100,778.2610948,null,13,11295,19471098885,1349890,93049400000,961.71,6502860000,20963.25,1483.652749,704785,5194453690,225860,13403400000,245.47,3481550000,15650,485.6629746,null,"14,945",9.22,20,15071578.27,1.93E+12,1,2496,40
25,1/5/18,52,8,4,25900974434,342564,2.60E+11,15477.2,23840900000,1787.499999,701.3560209,null,15,11310,18083099228,1271577,94423900000,975.75,6683150000,20917.5,3180.85648,692926,7836194763,197217,13164800000,241.03,1710600000,14225,370.0649165,null,"16,775",9.22,8,16127548.73,1.93E+12,1,2496,16
26,1/6/18,46,7,5,32777363199,358679,2.93E+11,17462.1,18314600000,2100,694.4779056,null,9,11319,15341970466,1226417,96326500000,995.15,4662220000,20948.90625,3641.860338,659530,4062482917,173712,13645300000,249.77,2264740000,14100,332.887278,null,"15,858",9.22,22,13727615.88,1.93E+12,1,2208,44
27,1/7/18,45,9,4,38152383783,368025,2.94E+11,17527.3,15866000000,2025,686.1140025,null,15,11334,12825937015,1152722,1.01E+11,1043.01,5569880000,21180.1875,2910.38204,599292,3764573900,143412,16178100000,296.05,1055400000,13275,176.3400634,null,"16,240",9.22,17,16127548.73,1.93E+12,1,2025,34
28,1/8/18,51,11,4,28755019698,345506,2.77E+11,16476.2,18413900000,2075,694.5264055,null,10,11344,17551600313,1215473,1.12E+11,1158.26,8450970000,20603.4375,2944.30486,645894,2869497082,146511,15726800000,287.73,1182080000,14025,168.230445,null,"14,940",9.52,20,15551564.84,1.93E+12,1,2295,40
29,1/9/18,48,10,4,23699755586,360101,2.54E+11,15123.7,16660000000,2050,752.4182028,null,11,11355,18481672680,1256240,1.11E+11,1146,7965460000,20735.8125,3091.626897,701525,2755253421,145848,13920200000,254.61,940825000,13475,167.3666241,null,"14,790",10.08,25,15935554.1,1.93E+12,1,2160,50
30,1/10/18,50,12,4,21480822245,347227,2.45E+11,14588.5,18500800000,2075,720.3257009,null,14,11369,22594117878,1177685,1.26E+11,1300.34,9214950000,21081.9375,3696.646402,645542,2317186688,140304,13566300000,248.07,1009910000,13875,165.9220085,null,"14,445",9.82,18,15743559.47,1.93E+12,1,2250,36
31,1/11/18,56,10,3,18718517841,337766,2.51E+11,14968.2,16534100000,2412.5,697.4408335,null,18,11387,20036882281,1173965,1.23E+11,1268.09,7235900000,21031.40625,3132.478755,650420,2056890952,120843,13758400000,251.52,1079390000,14675,134.128334,null,"13,320",9.88,24,15935554.1,1.93E+12,1,2520,48
32,1/12/18,46,8,3,16490708794,299913,2.26E+11,13453.9,12065700000,2225,617.6357942,null,24,11411,14500776314,1118757,1.12E+11,1158.29,5222300000,20917.125,2324.709276,593833,1812515985,106887,12572900000,229.79,691160000,13625,133.7344455,null,"13,800",10.16,19,18527481.57,1.93E+12,1,2070,38
33,1/13/18,41,8,3,12748028051,265586,2.34E+11,13952.4,12763600000,1862.5,528.466321,null,12,11423,12163842612,1179321,1.23E+11,1270.47,5746760000,20679.09375,2411.655583,631489,1677756243,93443,12964300000,236.88,961043000,14275,133.6165239,null,"13,750",10.16,11,17087521.86,1.93E+12,1,1845,22
