,Day,cyber attack,date,btc_per,eth_per,ltc_per,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,count,sum,txVolume(USD)_e_e,txCount_e_e,marketcap(USD)_e_e,price(USD)_e_e,exchangeVolume(USD)_e_e,generatedCoins_e_e,fees_e_e,activeAddresses_e_e,txVolume(USD)_l,txCount_l,marketcap(USD)_l,price(USD)_l,exchangeVolume(USD)_l,generatedCoins_l,fees_l,activeAddresses_l,Price_futures,Open_futures,High_futures,Low_futures,Vol._futures,Change %_futures
895,1/28/18,8.0,2018-01-28,31.0,5.0,2.0,11038244788.6,213288,193133000000.0,11475.3,8350360000.0,1975.0,155.34485572,null,8.0,11604.0,8142963937.46,889104,108122000000.0,1111.78,5372330000.0,20563.3125,887.8234054610001,419512,1742925629.65,51278,9969420000.0,181.42,363515000.0,14375.0,80.3440879501,null,"11,700","11,530","11,710","11,530",0,6.95
896,1/29/18,30.0,2018-01-29,32.0,5.0,2.0,9673896110.37,232028,197871000000.0,11755.5,7107360000.0,1850.0,145.75112922,null,19.0,11623.0,9938016882.82,936845,121269000000.0,1246.7,3715080000.0,20556.75,1275.09118889,453837,1205746265.53,50067,10649800000.0,193.75,303561000.0,15600.0,73.7643374,null,"11,170","11,560","11,760","10,950",5.97K,-4.53
897,1/30/18,21.0,2018-01-30,36.0,4.0,2.0,9215469710.63,236442,190339000000.0,11306.8,8637860000.0,2087.5,160.30090386,null,11.0,11634.0,10066164616.3,906578,115207000000.0,1184.13,4107860000.0,20304.9375,1062.58104481,433203,1297252658.18,55270,9976170000.0,181.44,433227000.0,15500.0,79.55434222,null,"10,115","11,200","11,240","9,680",8.11K,-9.44
898,1/31/18,19.0,2018-01-31,38.0,5.0,2.0,7689823496.35,204159,170183000000.0,10108.2,8041160000.0,1462.5,162.20623626,null,11.0,11645.0,8807713606.45,877284,104231000000.0,1071.09,3757560000.0,20533.875,1068.64828456,435645,563403104.6930001,54531,9090870000.0,165.3,363293000.0,13625.0,82.43093168,null,"9,955","10,110","10,320","9,520",5.18K,-1.58
899,2/1/18,21.0,2018-02-01,49.0,5.0,2.0,10437874263.6,257504,172372000000.0,10237.3,9959400000.0,2000.0,214.02754492,null,10.0,11655.0,9281152795.89,1008759,108952000000.0,1119.37,5261680000.0,20546.625,1550.75447517,487375,668611085.861,57962,9004330000.0,163.68,539880000.0,15675.0,84.50428941,null,"9,080","9,970","10,190","8,460",8.64K,-8.79
900,2/2/18,19.0,2018-02-02,64.0,6.0,2.0,10418735069.6,235750,153953000000.0,9142.28,12726900000.0,2100.0,274.36258243,null,8.0,11663.0,11525863619.9,981133,100836000000.0,1035.77,6713290000.0,20638.96875,1202.44658171,480520,690100829.214,66669,7844710000.0,142.56,815540000.0,13975.0,98.03971275,null,"8,500","9,160","9,260","7,700",10.31K,-6.39
902,2/4/18,20.0,2018-02-04,37.0,4.0,3.0,5630156385.7,173509,154553000000.0,9175.7,7073550000.0,2225.0,111.31669812,null,1.0,11670.0,4901708976.79,800876,93953400000.0,964.67,2997090000.0,20315.4375,844.771117178,391709,1127520499.81,45225,8829970000.0,160.38,1006080000.0,15000.0,74.24730261010001,null,"8,160","8,520","8,520","8,150",0,-4.0
903,2/5/18,19.0,2018-02-05,64.0,6.0,2.0,12235146915.0,216178,139325000000.0,8270.54,9285290000.0,2312.49999924,173.7675019,null,17.0,11687.0,6017923283.99,875761,81337400000.0,834.96,4269530000.0,20633.8125,873.209993831,421743,915761710.5689999,51043,8190580000.0,148.73,844678000.0,14850.0,82.6076394199,null,"7,055","8,450","8,460","6,600",11.10K,-13.54
904,2/6/18,31.0,2018-02-06,81.0,6.0,2.0,10209584542.7,243950,118810000000.0,7051.75,13999800000.0,2125.0,164.26998571,null,9.0,11696.0,6306822927.97,888219,68958700000.0,707.74,6518270000.0,20381.625,925.6717158380001,426816,696292812.195,59946,7024630000.0,127.52,1148410000.0,16275.0,84.30704415,null,"7,580","7,290","7,770","5,880",9.88K,7.44
905,2/7/18,28.0,2018-02-07,51.0,4.0,2.0,7383538359.06,213578,130683000000.0,7755.49,9169280000.0,1762.5,123.52109098,null,13.0,11709.0,5559680835.81,818625,77032000000.0,790.43,3896180000.0,20433.75,850.59181078,392057,706127471.9530001,50320,7851100000.0,142.48,817808000.0,14275.0,76.2774976101,null,"8,265","7,780","8,560","7,190",6.45K,9.04
